prefix,updates,avg_path_len,max_path_len,min_path_len,unique_origins,suspicious,anomaly
102.176.250.0,24,8.208333333333334,24,3,1,False,-1
103.127.176.0,44,9.909090909090908,17,8,1,False,-1
103.127.177.0,44,9.909090909090908,17,8,1,False,-1
103.127.178.0,44,9.909090909090908,17,8,1,False,-1
103.127.179.0,44,9.909090909090908,17,8,1,False,-1
103.158.40.0,1,20.0,20,20,1,True,-1
103.177.87.0,286,10.094405594405597,14,6,1,False,-1
103.219.224.0,101,9.554455445544557,18,7,1,False,-1
103.39.146.0,48,11.875,14,11,1,True,-1
103.39.147.0,24,11.875,14,11,1,True,-1
103.95.4.0,117,11.0,15,5,1,True,-1
109.104.148.0,82,15.0,24,12,1,True,-1
124.195.190.0,237,8.358649789029537,17,3,1,False,-1
138.99.97.0,681,8.917767988252569,13,8,1,True,-1
140.106.244.0,3,16.0,16,16,1,True,-1
146.66.28.0,2310,5.419480519480519,7,4,1,True,-1
151.238.103.0,9,15.333333333333334,16,15,1,True,-1
154.6.76.0,440,2.5977272727272727,4,2,1,True,-1
155.212.176.0,960,4.419791666666667,7,2,1,True,-1
155.30.122.0,267,9.745318352059924,14,9,1,False,-1
156.238.121.0,1,15.0,15,15,1,True,-1
157.15.53.0,113,11.584070796460177,21,5,1,True,-1
160.250.37.0,2,11.0,11,11,1,True,-1
163.227.118.0,11,13.363636363636363,14,13,1,True,-1
163.227.244.0,23,10.73913043478261,16,10,1,True,-1
177.53.46.0,491,3.869653767820774,8,3,1,True,-1
185.151.32.0,405,5.234567901234568,11,4,1,True,-1
186.83.117.0,334,7.0,18,6,1,True,-1
187.249.2.0,1223,3.0654129190515125,5,2,1,True,-1
190.89.72.0,1,14.0,14,14,1,True,-1
194.247.18.0,2,11.0,11,11,1,True,-1
195.155.146.0,1468,7.938692098092643,14,4,1,True,-1
200.39.44.0,73,11.780821917808218,13,11,1,True,-1
203.26.241.0,116,9.35344827586207,18,7,1,False,-1
45.172.92.0,604,7.024834437086093,17,4,1,True,-1
45.180.238.0,2,13.0,13,13,1,True,-1
45.181.146.0,627,5.8086124401913874,9,5,1,True,-1
45.186.172.0,889,9.296962879640043,16,8,1,True,-1
45.236.0.0,458,5.548034934497816,7,5,1,True,-1
45.4.40.0,495,3.8262626262626265,8,3,1,True,-1
46.175.247.0,20,13.0,13,13,1,True,-1
55.74.56.0,253,9.644268774703557,15,9,1,False,-1
55.74.57.0,253,9.644268774703557,15,9,1,False,-1
85.116.183.0,485,5.579381443298969,10,3,1,True,-1
91.214.28.0,20,13.0,13,13,1,True,-1
91.214.29.0,10,13.0,13,13,1,True,-1
91.214.30.0,10,13.0,13,13,1,True,-1
91.214.31.0,10,13.0,13,13,1,True,-1
93.190.125.0,82,11.365853658536585,16,6,1,True,-1
